Model,Node Memory Capacity (MB),# of Nodes,Bottleneck Latency (s)
MobileNetV2,64,5,0.05864750469
MobileNetV2,64,10,0.04607788815
MobileNetV2,64,15,0.04103348011
MobileNetV2,64,20,0.0389520765
MobileNetV2,64,50,0.03312876314
EfficientNetB1,64,5,0.4041656365
EfficientNetB1,128,5,0.08359986653
EfficientNetB1,64,10,0.324723011
EfficientNetB1,128,10,0.06919244323
EfficientNetB1,64,15,0.288728085
EfficientNetB1,128,15,0.05932338587
EfficientNetB1,64,20,0.2703883464
EfficientNetB1,128,20,0.05423545728
EfficientNetB1,64,50,0.2274540468
EfficientNetB1,128,50,0.04761872316
ResNet50,64,5,2.448549372
ResNet50,128,5,0.9435636199
ResNet50,64,10,1.908844993
ResNet50,128,10,0.7376608606
ResNet50,64,15,1.649321481
ResNet50,128,15,0.6657620959
ResNet50,64,20,1.54998821
ResNet50,128,20,0.6248515098
ResNet50,64,50,1.312702818
ResNet50,128,50,0.5362959227
InceptionResNetV2,64,5,nan
InceptionResNetV2,128,5,2.493506934
InceptionResNetV2,256,5,1.496583112
InceptionResNetV2,64,10,2.087596329
InceptionResNetV2,128,10,1.825493724
InceptionResNetV2,256,10,1.1812441
InceptionResNetV2,64,15,1.824265398
InceptionResNetV2,128,15,1.589673838
InceptionResNetV2,256,15,1.042735718
InceptionResNetV2,64,20,1.684339521
InceptionResNetV2,128,20,1.515597423
InceptionResNetV2,256,20,1.002143862
InceptionResNetV2,64,50,1.383239398
InceptionResNetV2,128,50,1.244444583
InceptionResNetV2,256,50,0.825500161
