Model,Node Memory Capacity (MB),# of Nodes,# of Bandwidth Classes,Bottleneck Latency (s)
ResNet50,64,5,2,2.606314038
ResNet50,64,5,5,2.453314803
ResNet50,64,5,8,2.402170881
ResNet50,64,5,11,2.386268063
ResNet50,64,5,14,2.401166789
ResNet50,64,5,17,2.393825513
ResNet50,64,5,20,2.404474896
ResNet50,128,5,2,0.9506254521
ResNet50,128,5,5,0.9374713208
ResNet50,128,5,8,0.9090361992
ResNet50,128,5,11,0.9482882131
ResNet50,128,5,14,0.9328814398
ResNet50,128,5,17,0.913453062
ResNet50,128,5,20,0.9702769472
ResNet50,256,5,2,0
ResNet50,256,5,5,0
ResNet50,256,5,8,0
ResNet50,256,5,11,0
ResNet50,256,5,14,0
ResNet50,256,5,17,0
ResNet50,256,5,20,0
ResNet50,512,5,2,0
ResNet50,512,5,5,0
ResNet50,512,5,8,0
ResNet50,512,5,11,0
ResNet50,512,5,14,0
ResNet50,512,5,17,0
ResNet50,512,5,20,0
ResNet50,64,10,2,2.0877457
ResNet50,64,10,5,1.869589682
ResNet50,64,10,8,1.846242216
ResNet50,64,10,11,1.889088665
ResNet50,64,10,14,1.849332749
ResNet50,64,10,17,1.898247126
ResNet50,64,10,20,1.888291732
ResNet50,128,10,2,0.7641907832
ResNet50,128,10,5,0.745112968
ResNet50,128,10,8,0.7444070246
ResNet50,128,10,11,0.754175542
ResNet50,128,10,14,0.7474794776
ResNet50,128,10,17,0.7271363105
ResNet50,128,10,20,0.7636338324
ResNet50,256,10,2,0
ResNet50,256,10,5,0
ResNet50,256,10,8,0
ResNet50,256,10,11,0
ResNet50,256,10,14,0
ResNet50,256,10,17,0
ResNet50,256,10,20,0
ResNet50,512,10,2,0
ResNet50,512,10,5,0
ResNet50,512,10,8,0
ResNet50,512,10,11,0
ResNet50,512,10,14,0
ResNet50,512,10,17,0
ResNet50,512,10,20,0
ResNet50,64,15,2,1.824677645
ResNet50,64,15,5,1.70732368
ResNet50,64,15,8,1.689300491
ResNet50,64,15,11,1.619516357
ResNet50,64,15,14,1.711472363
ResNet50,64,15,17,1.693669819
ResNet50,64,15,20,1.651656808
ResNet50,128,15,2,0.6675772302
ResNet50,128,15,5,0.6943778663
ResNet50,128,15,8,0.6732431775
ResNet50,128,15,11,0.6838192412
ResNet50,128,15,14,0.6966690069
ResNet50,128,15,17,0.6855738956
ResNet50,128,15,20,0.6644085128
ResNet50,256,15,2,0
ResNet50,256,15,5,0
ResNet50,256,15,8,0
ResNet50,256,15,11,0
ResNet50,256,15,14,0
ResNet50,256,15,17,0
ResNet50,256,15,20,0
ResNet50,512,15,2,0
ResNet50,512,15,5,0
ResNet50,512,15,8,0
ResNet50,512,15,11,0
ResNet50,512,15,14,0
ResNet50,512,15,17,0
ResNet50,512,15,20,0
ResNet50,64,20,2,1.697715317
ResNet50,64,20,5,1.549367802
ResNet50,64,20,8,1.54866145
ResNet50,64,20,11,1.555340688
ResNet50,64,20,14,1.582736155
ResNet50,64,20,17,1.540440343
ResNet50,64,20,20,1.534759775
ResNet50,128,20,2,0.6240658389
ResNet50,128,20,5,0.6266775138
ResNet50,128,20,8,0.6331488612
ResNet50,128,20,11,0.6100877258
ResNet50,128,20,14,0.6514442491
ResNet50,128,20,17,0.6182738338
ResNet50,128,20,20,0.6302821537
ResNet50,256,20,2,0
ResNet50,256,20,5,0
ResNet50,256,20,8,0
ResNet50,256,20,11,0
ResNet50,256,20,14,0
ResNet50,256,20,17,0
ResNet50,256,20,20,0
ResNet50,512,20,2,0
ResNet50,512,20,5,0
ResNet50,512,20,8,0
ResNet50,512,20,11,0
ResNet50,512,20,14,0
ResNet50,512,20,17,0
ResNet50,512,20,20,0
ResNet50,64,50,2,1.417264755
ResNet50,64,50,5,1.304794735
ResNet50,64,50,8,1.287210929
ResNet50,64,50,11,1.319529996
ResNet50,64,50,14,1.284404394
ResNet50,64,50,17,1.308793034
ResNet50,64,50,20,1.307423284
ResNet50,128,50,2,0.5348087187
ResNet50,128,50,5,0.5229773047
ResNet50,128,50,8,0.521943412
ResNet50,128,50,11,0.5182251959
ResNet50,128,50,14,0.5275925085
ResNet50,128,50,17,0.5276180884
ResNet50,128,50,20,0.5319345624
ResNet50,256,50,2,0
ResNet50,256,50,5,0
ResNet50,256,50,8,0
ResNet50,256,50,11,0
ResNet50,256,50,14,0
ResNet50,256,50,17,0
ResNet50,256,50,20,0
ResNet50,512,50,2,0
ResNet50,512,50,5,0
ResNet50,512,50,8,0
ResNet50,512,50,11,0
ResNet50,512,50,14,0
ResNet50,512,50,17,0
ResNet50,512,50,20,0
InceptionResNetV2,64,5,2,nan
InceptionResNetV2,64,5,5,nan
InceptionResNetV2,64,5,8,nan
InceptionResNetV2,64,5,11,nan
InceptionResNetV2,64,5,14,nan
InceptionResNetV2,64,5,17,nan
InceptionResNetV2,64,5,20,nan
InceptionResNetV2,128,5,2,2.802142242
InceptionResNetV2,128,5,5,2.764896791
InceptionResNetV2,128,5,8,2.638757174
